app,date,campaign,os,installs,spend,cpi
auto,2019-02-11,MSK_SPB,android,4.0,492.87,123.22
auto,2019-02-11,MSK_SPB,ios,2.0,132.42,66.21
auto,2019-02-11,RU,android,183.0,13677.7,74.74
auto,2019-02-11,RU,ios,21.0,1632.38,77.73
auto,2019-02-11,SPB,android,4.0,251.29,62.82
auto,2019-02-12,MSK_SPB,android,6.0,529.9,88.32
auto,2019-02-12,MSK_SPB,ios,1.0,60.6,60.6
auto,2019-02-12,RU,android,220.0,18405.64,83.66
auto,2019-02-12,RU,ios,13.0,1220.84,93.91
auto,2019-02-12,SPB,android,4.0,306.23,76.56
auto,2019-02-13,MSK_SPB,android,7.0,797.66,113.95
auto,2019-02-13,RU,android,571.0,64017.97,112.12
auto,2019-02-13,RU,ios,14.0,2938.44,209.89
auto,2019-02-13,SPB,android,6.0,494.29,82.38
auto,2019-02-14,MSK_SPB,android,4.0,578.12,144.53
auto,2019-02-14,MSK_SPB,ios,5.0,380.01,76.0
auto,2019-02-14,RU,android,238.0,18783.45,78.92
auto,2019-02-14,RU,ios,39.0,7347.6,188.4
auto,2019-02-14,SPB,android,1.0,189.74,189.74
auto,2019-02-14,SPB,ios,1.0,104.13,104.13
auto,2019-02-15,MSK_SPB,android,8.0,778.43,97.3
auto,2019-02-15,MSK_SPB,ios,6.0,592.25,98.71
auto,2019-02-15,RU,android,521.0,51422.06,98.7
auto,2019-02-15,RU,ios,50.0,8336.6,166.73
auto,2019-02-15,SPB,android,6.0,805.96,134.33
auto,2019-02-15,SPB,ios,1.0,122.1,122.1
auto,2019-02-16,MSK_SPB,android,12.0,1185.71,98.81
auto,2019-02-16,MSK_SPB,ios,2.0,222.85,111.43
auto,2019-02-16,RU,android,342.0,31800.52,92.98
auto,2019-02-16,RU,ios,24.0,2775.64,115.65
auto,2019-02-16,SPB,android,3.0,306.71,102.24
auto,2019-02-16,SPB,ios,2.0,157.28,78.64
auto,2019-02-17,MSK_SPB,android,5.0,561.76,112.35
auto,2019-02-17,MSK_SPB,ios,2.0,417.67,208.84
auto,2019-02-17,RU,android,332.0,27844.95,83.87
auto,2019-02-17,RU,ios,67.0,6433.46,96.02
auto,2019-02-17,SPB,android,8.0,465.1,58.14
